Subject_System,BUG_ID,Extrinsic
1,#3864,
1,#965,1
1,#3917,1
1,#5595,
1,#2996,
1,#7452,
1,#3151,
1,#5873,
1,#4085,1
1,#62,1
1,#3104,
1,#1657,
1,#1957,
1,#2511,
1,#2644,1
1,#1848,
1,#2044,
1,#4758,
1,#6740,
1,#3214,
1,#1106,1
1,#2088,1
1,#2651,1
1,#3227,
1,#2771,
1,#7478,
1,#3297,
1,#2123,
1,#2883,
1,#3175,
1,#2161,
1,#3066,
1,#1369,
1,#3732,
1,#6828,
1,#7007,1
1,#3328,1
1,#1417,1
1,#4099,
1,#6803,
1,#3976,
1,#1573,
1,#1249,
1,#6302,
1,#1151,
1,#1279,
1,#3597,
1,#1690,1
1,#1243,1
1,#2194,
1,#1811,
1,#1113,
1,#2951,
1,#2269,
1,#2329,
1,#366,
1,#3477,
1,#102,1
1,#3661,
1,#1138,
1,#4007,
1,#3892,
1,#1218,
1,#1263,
1,#3387,
1,#3026,
1,#4072,
1,#6854,
1,#3366,
1,#7553,
1,#1682,1
1,#477,
1,#3777,
1,#3360,
1,#350,
1,#3288,
1,#3928,
1,#837,
1,#2414,
1,#2050,1
1,#227,
1,#4089,1
1,#1037,
1,#4840,1
1,#2341,
1,#665,
1,#3274,
1,#1848,
1,#3807,1
1,#2983,
1,#301,
1,#3022,
1,#7632,
1,#621,
1,#2608,1
1,#3619,
1,#641,
1,#3124,1
1,#629,1
1,#4399,
1,#553,
1,#43,
1,#1775,
1,#3199,
1,#3648,
1,#722,
1,#2757,
1,#4187,
1,#4034,
1,#1495,
1,#2714,
1,#710,
1,#4079,
1,#2076,1
1,#3102,
1,#6088,
1,#2274,
1,#1816,
1,#866,
1,#3640,
1,#261,
1,#571,
1,#2174,
1,#5498,
1,#4574,
1,#7368,1
1,#2726,
1,#1393,
1,#6698,
1,#395,
1,#1084,
1,#7252,
1,#1774,
1,#5128,1
1,#6623,
1,#649,
1,#490,
1,#3491,
1,#2283,
1,#1928,
1,#2947,
1,#5818,
1,#2389,
1,#6675,
1,#7000,
1,#1464,
1,#3195,
1,#5042,
1,#977,
1,#1767,
1,#3449,
1,#1739,
1,#1101,
1,#81,
1,#359,
1,#3038,
1,#1345,
1,#3766,1
1,#7319,
1,#4006,1
1,#1013,
1,#6940,
1,#3778,
1,#3212,1
1,#3659,
1,#1432,
1,#2990,
1,#5370,
1,#6807,
1,#3062,
1,#1543,
1,#752,
1,#3430,
1,#1332,
1,#7174,1
1,#2545,
1,#1056,
1,#6796,
1,#2901,
1,#2060,
1,#3709,
1,#5615,
1,#4050,
1,#7115,
1,#2711,
1,#5107,
1,#1331,
1,#2321,
1,#5926,
1,#1229,
1,#4312,
1,#2513,
1,#997,1
1,#938,
1,#411,
1,#1809,1
1,#5449,
1,#2154,
1,#3407,
1,#1008,
1,#1708,
1,#4127,
1,#1833,1
1,#2407,
1,#2722,
1,#2054,1
1,#6998,
1,#6720,1
1,#2143,
1,#3484,
1,#6511,
1,#1570,
1,#7548,
1,#4655,
1,#3056,
1,#7426,
1,#618,
1,#707,
1,#2778,
1,#3931,
1,#3136,1
1,#7205,
1,#1789,
1,#552,
1,#2014,
1,#2033,1
1,#6756,
1,#6464,
1,#1922,
1,#3174,
1,#2470,
1,#311,
1,#5140,
1,#942,
1,#2408,1
1,#1768,1
1,#6863,
1,#2866,
1,#2582,
1,#1713,1
1,#983,
1,#7110,
1,#6934,
1,#865,
1,#6621,
1,#1980,
1,#6850,
1,#2442,
1,#6247,
1,#2313,
1,#3307,
1,#677,
1,#3480,
1,#3534,1
1,#3207,
1,#5920,
1,#1867,
1,#6885,1
1,#998,
1,#1606,
1,#4275,
1,#2588,
1,#1012,1
1,#944,
1,#3339,
1,#584,
1,#1327,
1,#6856,
1,#3656,
1,#2632,
1,#3071,
1,#985,1
1,#2071,
1,#5658,1
1,#7026,
1,#1123,
1,#2262,
1,#3240,
1,#2594,
1,#3872,
1,#4086,
1,#2766,
1,#2420,
1,#5715,
1,#6590,
1,#2862,1
1,#5399,
1,#3317,1
1,#4309,
1,#2432,
1,#2748,
1,#1723,
1,#6907,
1,#1872,
1,#1133,
1,#5717,
1,#7023,
1,#2253,
1,#2677,1
1,#989,
1,#1061,
1,#277,
1,#6585,
1,#1025,
1,#6913,
1,#2144,
1,#3731,
1,#7012,
1,#2811,
1,#6579,
1,#386,1
1,#1809,
1,#753,
1,#2505,
1,#427,
1,#658,
1,#2818,
1,#3659,
1,#986,
1,#500,
1,#2341,
1,#1535,
1,#1705,1
1,#4032,
1,#1360,
1,#1640,
1,#3749,
1,#4011,
1,#197,
1,#820,
1,#6953,
1,#3432,1
1,#3225,
1,#417,
1,#3318,
1,#6280,
1,#112,
1,#1655,
1,#2071,1
1,#1837,
1,#2491,
1,#672,
1,#6619,1
1,#3984,
1,#3819,
1,#1443,
1,#3497,
1,#1910,
1,#1960,
1,#586,
1,#414,
1,#1280,
1,#2640,
1,#4570,
1,#4431,
1,#1101,1
1,#2648,
1,#2455,
1,#7563,
1,#1422,
1,#6725,
1,#2636,
1,#6955,
1,#6836,
1,#5016,
1,#3305,
1,#3559,
1,#7225,
1,#2156,
1,#6874,
1,#2157,
1,#1027,
1,#1807,
1,#2269,1
1,#5349,
1,#6761,
1,#2043,1
1,#3831,1
1,#3733,
1,#1461,1
1,#1240,
1,#6665,
1,#550,1
1,#2373,
1,#138,